grid size, CPU time, GPU time, GPU2 time
5x5,18.0641,5.9202,4.8488
6x6,19.8732,5.5163,7.7926
7x7,27.7213,5.2699,5.134
8x8,35.7679,7.5326,8.5499
9x9,45.9892,6.8517,6.3681
10x10,56.488,7.428,10.733
11x11,69.072,7.9795,7.7362
12x12,85.2471,8.82,11.2524
13x13,93.859,10.2636,8.9963
14x14,110.2526,10.601,13.6172
15x15,128.166,13.6506,10.9628
16x16,145.1896,15.0854,20.4308
17x17,163.8454,16.1837,14.4138
18x18,182.1019,20.7427,26.5307
19x19,198.1822,18.8141,15.0752
20x20,219.8233,20.7476,20.2964
21x21,243.2874,19.7932,29.6765
22x22,269.5299,31.0572,27.8733
23x23,293.5868,27.8216,20.4844
24x24,316.5883,28.5235,43.8265
25x25,345.4576,32.8236,35.1998
26x26,375.7462,30.8398,34.5159
27x27,406.6371,32.2468,27.6506
28x28,442.2,43.4979,31.9534
29x29,459.8295,37.0393,35.8174
30x30,493.5777,47.7654,34.3758
31x31,527.2238,55.65,63.8502
32x32,565.4256,59.7235,71.3857
33x33,602.4788,57.8262,55.9728
34x34,667.1124,65.0778,67.6615
35x35,689.9173,57.1703,72.9866
36x36,733.0534,74.2384,62.4908
37x37,759.9812,68.3984,74.7839
38x38,805.1728,119.2908,80.7241
39x39,854.0145,98.6056,88.8121
40x40,886.1768,127.0952,112.4478
41x41,941.7081,120.884,94.8156
42x42,988.4479,131.3817,156.3784
43x43,1042.2716,135.2858,169.0689
44x44,1121.2023,134.6744,166.6754
45x45,1403.9184,168.1632,144.9517
46x46,1220.5096,139.0144,324.5564
47x47,1269.172,390.2962,936.8468
48x48,1940.3468,226.9937,661.3074
49x49,1350.4168,2061.2159,246.9757
50x50,1474.5519,1114.3868,611.6339
